step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,2,0,0.0,15.642134739955617,0.0,13.985255516117771,0.3398065131390471,7.821067369977809,7131.71297487626,1137.3475218984258,2274.6950437968517,0.0,0.05413598960589,0.0,0,0.0,0.9827259746203845,0.3398065131390471,0,0.0,15.642134739955617
10.0,3,0,0.0,-34.35558767731335,0.0,9.524621826713378,-1.7906496847824525,-11.45186255910445,0.0,0.0,0.0,0.0,0.081203984408835,0.0,0,0.0,0.6681223637525481,-1.7906496847824525,0,0.0,-34.35558767731335
15.0,3,1,5.0,-2.537703257586238,1.6666666666666667,0.354361057372877,-1.1393693659712156,-0.8459010858620793,5191.277237315586,551.963761019409,1655.8912830582271,0.0,0.081203984408835,0.027067994802945,1,5.0,0.024790270482776464,-1.1393693659712156,1,5.0,-2.537703257586238
20.0,4,3,19.0,-5.00107130522991,4.75,3.126828536713062,-0.13244345466398705,-1.2502678263074776,7873.966538973806,627.900707021764,2511.602828087056,0.0,0.10827197921178,0.081203984408835,3,19.0,0.2278005625623449,-0.13244345466398705,3,19.0,-5.00107130522991
25.0,6,3,34.0,-3.928590066799427,5.666666666666667,2.311969105460154,-0.23525826027948915,-0.6547650111332378,10421.95928208457,554.0584859425659,3324.3509156553955,0.0,0.15761083849735333,0.081203984408835,3,34.0,0.2370119516566834,-0.23525826027948915,3,34.0,-3.928590066799427
30.0,8,4,54.0,12.589007507135136,6.75,3.4924218264900886,0.25389369811590007,1.573625938391892,19634.079543263277,782.8344266135305,6262.675412908243,0.0,0.20694969778292663,0.10827197921178,4,54.0,0.37468599904287203,0.25389369811590007,4,54.0,12.589007507135136
35.0,8,4,74.0,30.466989196976414,9.25,4.522991517913827,0.2527061352302553,3.8083736496220517,24796.20767000388,988.6411071326124,7909.1288570609,0.023916578972543765,0.18228026814013998,0.10827197921178,4,74.0,0.38799685992561267,0.037555955180765314,4,74.0,6.180831381542576
40.0,9,3,4.0,-21.32592149803767,0.4444444444444444,4.625134252181881,-0.4208751646608144,-2.3695468331152965,18824.48489308182,667.1576111315215,6004.418500183695,0.023916578972543765,0.18228026814013998,0.07640685408851831,3,66.0,0.26433705647869965,-0.5635633349535497,3,66.0,-12.887072979248652
45.0,9,4,21.0,29.400136995694886,2.3333333333333335,5.357909554339112,0.3027668384740111,3.266681888410543,25362.630558639798,898.8658191264849,8089.792372138363,0.052687038988408846,0.15281370817703666,0.10107628373130499,4,52.0,0.17181172789075738,0.21243897340109655,4,52.0,1.4974799332875863
50.0,9,3,30.0,37.66182888579907,3.3333333333333335,6.2358600603104,0.4022036542314003,4.184647653977674,26930.8226059409,954.4363419416222,8589.9270774746,0.07903055848261327,0.12334714821393329,0.07400828892835998,3,30.0,0.378126943963317,0.12034094691276565,3,30.0,8.382700528096757
