step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
10.0,1,0,0.0,3.272759231663629,0.0,15.788763000000001,0.0,3.272759231663629,2533.0177639730487,807.9248992084731,807.9248992084731,0.0,0.027067994802945,0.0,0,0.0,1.0,0.0,0,0.0,3.272759231663629
15.0,3,0,0.0,-46.648062608886725,0.0,9.025019315232136,-1.3599118648950619,-15.549354202962242,2138.4099541561854,227.3626036041439,682.0878108124317,0.0,0.07640685408851831,0.0,0,0.0,0.7985578362053015,-1.3599118648950619,0,0.0,-46.648062608886725
20.0,3,1,1.0,-2.150211905861827,0.3333333333333333,5.350969855780807,-0.3041294664114967,-0.7167373019539424,4571.027289535556,486.009053160341,1458.027159481023,0.0,0.07640685408851831,0.027067994802945,1,1.0,0.5858622374274504,-0.3041294664114967,1,1.0,-2.150211905861827
25.0,5,0,0.0,1.9062426373642474,0.0,8.420152317302634,-0.362991191879847,0.3812485274728495,11553.385567260071,737.0151023444653,3685.0755117223266,0.0,0.10347484889146331,0.0,0,0.0,0.8051368650019234,-0.864800611458487,0,0.0,-5.097093138490142
30.0,6,2,6.0,60.74719723812468,1.0,7.943011478929125,0.40346785126557805,10.12453287302078,25432.600790032655,1351.981767699822,8111.890606198933,0.052687038988408846,0.10107628373130499,0.04933885928557332,2,6.0,0.47032204053907767,-0.3277076552168996,2,6.0,2.3575746892407445
35.0,7,2,16.0,26.513565613490865,2.2857142857142856,7.9741170919199655,0.17670656127323006,3.787652230498695,19043.6809602542,867.7450371135383,6074.215259794768,0.052687038988408846,0.12574571337409166,0.04933885928557332,2,16.0,0.5750157756454024,0.2336466037109494,2,16.0,20.847299075338977
40.0,8,0,0.0,55.042016188487004,0.0,6.204079773317216,0.5221325592492072,6.880252023560875,29823.670393538876,1189.0645254743727,9512.51620379498,0.0,0.1774831378198233,0.0,0,9.0,0.605007936471561,0.2935184597608838,0,9.0,39.500185325004956
45.0,8,1,5.0,69.21500079886529,0.625,7.341626033600155,0.5258920099391384,8.651875099858163,30827.691353541228,1229.0914293397968,9832.731434718373,0.0717497369176313,0.12814427853425,0.027067994802945,1,5.0,0.4999153021098312,-0.08441132233788662,1,5.0,0.6190091207910461
50.0,7,2,15.0,56.64627959609601,2.142857142857143,7.44519925269566,0.6178290769957429,8.092325656585144,27359.640044616433,1246.6572446019006,8726.600712213305,0.0717497369176313,0.07880541924867666,0.05413598960589,2,15.0,0.3301449078124499,0.3953165890947932,2,15.0,11.18455953186351
55.0,6,2,25.0,22.670713736494026,4.166666666666667,7.343882710413709,0.26957372144520547,3.778452289415671,17586.316356252955,934.8981596517324,5609.388957910394,0.04783315794508753,0.07880541924867666,0.05413598960589,2,25.0,0.3094433284737535,0.061252509802580235,2,25.0,3.0863820754252176
60.0,7,1,1.0,17.416215231796286,0.14285714285714285,8.923091172435324,0.16162863230195487,2.4880307473994696,15375.390313107744,700.5932365508751,4904.152655856125,0.023916578972543765,0.1305428436944083,0.027067994802945,1,13.0,0.7610901002473835,0.008747463912644082,1,13.0,10.724896771134404
65.0,7,1,6.0,17.46118562416475,0.8571428571428571,8.198208450887048,-0.121203981323306,2.494455089166393,15568.549371636938,709.3923739664679,4965.746617765275,0.026343519494204423,0.12814427853425,0.027067994802945,1,18.0,0.5753718752704646,-0.49987493015332723,1,18.0,-12.328159012814211
