step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,1,0,0.0,-3.6794618818820766,0.0,6.679778744190849,-0.6330099672311924,-3.6794618818820766,0.0,0.0,0.0,0.0,0.024514610707981957,0.0,0,0.0,0.861233172576196,-0.6330099672311924,0,0.0,-3.6794618818820766
10.0,3,0,0.0,8.974390442981685,0.0,8.890149718347038,0.07296892009520277,2.991463480993895,5858.058966699525,622.8285440678866,1868.4856322036596,0.0,0.07337908018678303,0.0,0,0.0,0.9295845825936729,0.07296892009520277,0,0.0,8.974390442981685
15.0,5,0,0.0,-65.61352321297319,0.0,8.564037807318378,-1.6863217208388228,-13.122704642594638,2074.8340421036405,132.3608053889047,661.8040269445236,0.0,0.097893690894765,0.0,0,0.0,0.835726456908892,-1.2358215219268656,0,0.0,-30.870559794211886
20.0,6,1,3.0,38.61203991636374,0.5,7.736766356507481,0.410191827855882,6.435339986060623,20806.03983875039,1106.0489098142032,6636.293458885219,0.02387774594078319,0.12240830160274696,0.024514610707981957,1,3.0,0.7650720521126557,0.3979259231018297,1,3.0,33.62020969393506
25.0,7,0,0.0,5.448464733662844,0.0,5.5920685392996505,-0.254860497314239,0.7783521048089777,14714.010829824636,670.4537375998846,4693.176163199193,0.04775549188156638,0.09805844283192783,0.0,0,0.0,0.5527011419270532,-0.8726689245521946,0,0.0,-11.315859063563249
30.0,8,0,0.0,59.5417404317614,0.0,9.010418989928485,0.5816856664795423,7.442717553970175,26886.975352964415,1071.9734157006558,8575.787325605246,0.1294726415873846,0.07354383212394587,0.0,0,0.0,0.9129550912008387,0.7140802956220126,0,0.0,20.41056843892447
35.0,8,0,0.0,27.67735750288682,0.0,9.651904816440872,0.3083434745536597,3.4596696878608526,20804.085697334714,829.4583026254953,6635.666421003963,0.08171714970581825,0.12240830160274696,0.0,0,0.0,0.9061925567867428,0.472943346857745,0,0.0,19.228200012475057
40.0,6,0,0.0,7.184215760603349,0.0,6.892927169807973,-0.64768823929,1.1973692934338915,9718.74288818183,516.6471699906991,3099.8830199441945,0.0,0.14692291231072893,0.0,0,0.0,0.7846159485825183,-0.64768823929,0,0.0,7.184215760603348
45.0,9,2,5.0,-4.190738570805239,0.5555555555555556,5.492328293204303,-0.6986641467399626,-0.4656376189783599,19829.121366820575,702.7594242445705,6324.834818201135,0.02387774594078319,0.19578738178953,0.049029221415963914,2,5.0,0.49402445465674844,-0.3937920878875037,2,5.0,16.393733347951162
50.0,10,5,24.0,-2.3169054938646596,2.4,4.65404828741187,-0.1113958087843121,-0.23169054938646597,23450.161437688195,747.9849624732223,7479.849624732224,0.02387774594078319,0.22030199249751195,0.12257305353990978,5,24.0,0.4071699320373769,-0.17447650833316403,5,24.0,-6.823159915977537
55.0,11,5,49.0,-0.39408154989019906,4.454545454545454,3.7801270370126914,-0.08911726492008593,-0.03582559544456355,20382.44013235109,591.0343702226548,6501.378072449204,0.07163323782234957,0.19595213372669282,0.12257305353990978,5,49.0,0.25159869466461854,0.024791186946148888,5,49.0,4.194334480316911
60.0,11,7,80.0,11.564329813508905,7.2727272727272725,3.2137791580425157,0.029914679980968598,1.0513027103189914,26152.822469100218,758.3596980991053,8341.956679090159,0.07163323782234957,0.19595213372669282,0.17160227495587368,7,80.0,0.11716344944810486,-0.020983484082384287,7,80.0,0.3977566281990806
65.0,10,7,115.0,11.364651604403798,11.5,2.3567150331399973,0.08664724875915056,1.13646516044038,26496.203238504237,845.1532976282122,8451.532976282122,0.07163323782234957,0.17160227495587368,0.17160227495587368,7,115.0,0.0,-2.8200588855381202e-05,7,115.0,0.0
70.0,10,4,71.0,22.212446609337327,7.1,3.64534586244973,0.43196094848269206,2.2212446609337326,26507.32903946093,845.4988233825964,8454.988233825963,0.02387774594078319,0.19595213372669282,0.09805844283192783,4,119.0,0.29837066112294836,0.4062070443767307,4,119.0,16.551798104724334
