step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,2,0,0.0,15.642134739955617,0.0,13.985255516117771,0.3398065131390471,7.821067369977809,7131.71297487626,1137.3475218984258,2274.6950437968517,0.0,0.04749691270067446,0.0,0,0.0,0.9827259746203845,0.3398065131390471,0,0.0,15.642134739955617
10.0,3,0,0.0,-45.190514463449404,0.0,10.815357103594735,-1.6765623791559756,-15.0635048211498,0.0,0.0,0.0,0.0,0.07124536905101168,0.0,0,0.0,0.7585960332053631,-1.6765623791559756,0,0.0,-45.190514463449404
15.0,3,1,3.0,-15.164185326494353,1.0,1.382251932933922,-2.0138317443101053,-5.054728442164785,4972.516501964703,528.7057114849534,1586.1171344548602,0.0,0.07124536905101168,0.02374845635033723,1,3.0,0.09664537836117303,-2.0138317443101053,1,3.0,-15.164185326494351
20.0,4,3,16.0,-5.000832522946156,4.0,3.1273255095550145,-0.13350583938462937,-1.250208130736539,7873.703091838456,627.8796978624592,2511.518791449837,0.0,0.09499382540134892,0.07124536905101168,3,16.0,0.22783528614763796,-0.13350583938462937,3,16.0,-5.000832522946156
25.0,6,3,31.0,-7.040154998591353,5.166666666666667,2.422129236356756,-0.6844479613556732,-1.173359166431892,7874.166666666666,418.6111111111111,2511.6666666666665,0.0,0.14374102243751932,0.07124536905101168,3,31.0,0.24503754865421334,-0.6844479613556732,3,31.0,-7.040154998591353
30.0,8,4,50.0,12.589260785100898,6.25,3.4927136193202872,0.2524338633721638,1.5736575981376122,19633.76374151473,782.8218345015287,6262.574676012229,0.0,0.19248821947368977,0.09499382540134892,4,50.0,0.3747072572934104,0.2524338633721638,4,50.0,12.589260785100898
35.0,8,4,70.0,30.466989196976414,8.75,4.522991517913827,0.2527061352302553,3.8083736496220517,24796.20767000388,988.6411071326124,7909.1288570609,0.0,0.16811462095560456,0.09499382540134892,4,70.0,0.38799685992561267,0.037555955180765314,4,70.0,6.180831381542576
40.0,9,3,4.0,12.15660289376753,0.4444444444444444,4.834669267036689,-0.22507937123261237,1.350733654863059,23556.099712743027,834.8421399045025,7513.5792591405225,0.027289597205545246,0.16811462095560456,0.07249565338650765,3,62.0,0.2739066059772535,-0.563338220027502,3,62.0,-10.085120849625179
45.0,9,4,21.0,2.3784266637646585,2.3333333333333335,4.29513464543918,-0.06283473956711941,0.2642696293071843,18951.705069830266,671.6635873988685,6044.972286589817,0.051953449709060684,0.14499130677301533,0.09686925190459288,4,46.0,0.25174072409253473,-0.31822649613570325,4,46.0,-12.60574267295188
50.0,10,3,30.0,16.543563663399603,3.0,5.166860474991317,0.1532797109684907,1.6543563663399603,22890.818807092164,730.1399939628355,7301.399939628355,0.10390689941812137,0.12186799259042606,0.07312079555425564,3,30.0,0.378126943963317,0.12034094691276565,3,30.0,8.382700528096757
55.0,10,1,1.0,39.047485823117825,0.1,5.233701254796321,0.36968199404722163,3.9047485823117825,26467.234164783007,844.201594063297,8442.01594063297,0.10390689941812137,0.12186799259042606,0.024373598518085213,1,26.0,0.3600343682394899,-0.005148039440756947,1,26.0,3.2385608920569213
60.0,8,0,0.0,116.2015259010871,0.0,9.544965943489382,1.2196108940878119,14.525190737635887,41886.11125576464,1669.969490889403,13359.755927115226,0.13382224132569642,0.04874719703617043,0.0,0,0.0,0.824990459339598,1.2787349603961493,0,0.0,21.232924144815318
65.0,5,0,0.0,48.84475829723303,0.0,11.619751812922658,0.7322539998878019,9.768951659446605,19328.516019795436,1232.9822209265196,6164.911104632598,0.10784551647116608,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
70.0,3,0,0.0,18.69025851934711,0.0,14.24084009451729,0.21352571337421664,6.230086173115704,9588.341032665667,1019.4189015514991,3058.2567046544973,0.05457919441109049,0.02374845635033723,0.0,0,0.0,0.944652732247536,0.09444813362788373,0,0.0,3.9298655265649822
75.0,1,0,0.0,-6.8260225294896335,0.0,1.5586390620184398,-4.1020088828267225,-6.8260225294896335,0.0,0.0,0.0,0.0,0.02374845635033723,0.0,0,0.0,0.10901878502136778,-4.1020088828267225,0,0.0,-6.8260225294896335
80.0,1,1,4.0,2.3527626079055922e-05,4.0,0.00017881130698430285,-0.00038367740767128,2.3527626079055922e-05,2624.6990038228723,837.2148157971484,837.2148157971484,0.0,0.02374845635033723,0.02374845635033723,1,4.0,1.250693114945228e-05,-0.00038367740767128,1,4.0,2.3527626079055922e-05
85.0,6,0,0.0,12.711822182795306,0.0,9.30949391271589,0.3066203775699253,2.118637030465884,15202.763688028721,808.1739325052325,4849.043595031395,0.0,0.11999256608718212,0.0,0,0.0,0.9001756681388106,-0.1515087919915093,0,0.0,-3.6081811180164625
