step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,1,0,0.0,2.9500723638205097,0.0,14.239591386412792,0.012671479186973755,2.9500723638205097,2415.8818776771204,770.5661035159715,770.5661035159715,0.0,0.02434985877081913,0.0,0,0.0,0.9800846714497267,0.012671479186973755,0,0.0,2.9500723638205097
10.0,1,0,0.0,-32.76335019201084,0.0,10.863415000670068,-2.8941589607831126,-32.76335019201084,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
15.0,2,0,0.0,3.6582746597840003,0.0,8.295856430693913,0.0597177374875173,1.8291373298920002,4444.100321667482,708.7561110400918,1417.5122220801836,0.02387774594078319,0.024514610707981957,0.0,0,0.0,1.0,0.0,0,0.0,1.2198450103665637
20.0,2,0,0.0,0.08382439806515496,0.0,7.732271854158411,-0.18476207687053803,0.04191219903257748,3042.2699521888717,485.1812906978145,970.362581395629,0.02387774594078319,0.024514610707981957,0.0,0,0.0,0.8788115176064634,-0.8054658177541567,0,0.0,-5.226316538837215
25.0,5,0,0.0,4.884613770927855,0.0,10.116391919253035,0.06508446153718932,0.976922754185571,12093.102203805867,771.44288900955,3857.21444504775,0.0,0.12224354966558414,0.0,0,0.0,0.9309327389688613,0.06508446153718932,0,0.0,4.884613770927853
30.0,5,0,0.0,-52.61625370289159,0.0,7.239672930486952,-1.46085292570657,-10.523250740578318,2444.4601343848594,155.9453042461066,779.726521230533,0.0,0.097893690894765,0.0,0,0.0,0.648737655256243,-1.2319174778148332,0,0.0,-31.791675495359232
35.0,6,2,6.0,7.202235739745154,1.0,5.717909826134469,-0.6188021773688718,1.200372623290859,13582.250706916964,722.0394077432089,4332.236446459254,0.04775549188156638,0.097893690894765,0.049029221415963914,2,6.0,0.33990575076436025,-0.9044919192433887,2,6.0,5.647235317946931
40.0,9,3,18.0,3.187123685946135,2.0,6.482656829652289,-0.01252301850492981,0.354124853994015,17583.739384417877,623.1801503457177,5608.62135311146,0.04775549188156638,0.14675816037356607,0.07354383212394587,3,18.0,0.4767942599601395,-0.08511384115448974,3,18.0,-5.532307865694277
45.0,10,3,33.0,30.655817082935616,3.3,6.781456800882253,0.21793659077949873,3.0655817082935615,29279.096110295308,933.8886470230509,9338.886470230507,0.04775549188156638,0.1956226298523672,0.07354383212394587,3,33.0,0.5848726816439932,-0.13078798055789653,3,33.0,-4.96839776972291
50.0,10,3,48.0,-3.3018044949602228,4.8,4.9119794776074555,-0.2776684122027991,-0.3301804494960221,18556.366335907413,591.8910048307752,5918.910048307752,0.07163323782234957,0.17143752301871087,0.07354383212394587,3,48.0,0.40448061301791405,-0.05671968248241553,3,48.0,11.791034732522634
55.0,10,5,69.0,0.625016700890372,6.9,4.400909353212944,-0.27862775611535023,0.0625016700890372,22473.555237271084,716.8358645794151,7168.358645794151,0.04775549188156638,0.17143752301871087,0.12257305353990978,5,69.0,0.19892266365808836,-0.5115262514357101,5,69.0,-8.911753683807104
60.0,11,6,97.0,13.94307980004527,8.818181818181818,4.32474880683593,-0.016494710838735126,1.2675527090950245,25582.36466260915,741.815747994177,8159.973227935947,0.07163323782234957,0.19595213372669282,0.14708766424789174,6,97.0,0.24774172987414744,0.07005895740286262,6,97.0,16.227691154464093
65.0,10,6,127.0,-9.54004650321141,12.7,2.998817945510278,-0.3142118387467082,-0.954004650321141,23362.54095192123,745.1980982317548,7451.980982317547,0.04775549188156638,0.19611688566385566,0.14708766424789174,6,127.0,0.18494627220953266,-0.4891668098231131,6,127.0,-18.2310481348497
70.0,12,4,53.0,15.084172161003977,4.416666666666667,3.9944809199570606,-0.004524613546369682,1.2570143467503314,31185.830166557378,828.9356810171115,9947.228172205338,0.04775549188156638,0.22046674443467476,0.09805844283192783,4,118.0,0.3064130442853259,-0.18153543763473104,4,118.0,4.5476172332228995
75.0,10,1,5.0,30.60016900842576,0.5,6.385637260752724,0.42811465182136993,3.0600169008425757,33702.38089508729,1074.9677750508981,10749.677750508981,0.054478099803878834,0.17143752301871087,0.024514610707981957,1,64.0,0.4868407338063468,0.15367199568051687,1,64.0,-11.598412802509472
80.0,10,1,2.0,73.65165049536724,0.2,9.189887170365713,0.6019005480292179,7.365165049536723,34390.43127346131,1096.9086431802402,10969.086431802401,0.10895619960775767,0.12224354966558414,0.02434985877081913,1,14.0,0.7052055677834359,0.8664555483951173,1,14.0,39.70581067756862
85.0,8,0,0.0,15.789474857192033,0.0,7.136122543599182,-0.2720881300789564,1.9736843571490046,17366.957015728687,692.4162143589709,5539.329714871767,0.08171714970581825,0.097893690894765,0.0,0,12.0,0.3924941966528192,-1.1819879783858946,0,12.0,-14.463322291443852
90.0,7,3,10.0,-15.615178380602266,1.4285714285714286,5.42608376876072,-0.4181343837694959,-2.230739768657467,13771.456985548732,627.5228008471292,4392.659605929905,0.04775549188156638,0.12240830160274696,0.07354383212394587,3,22.0,0.37436969052565083,0.0008581014437542724,3,22.0,7.1721545437739636
95.0,7,3,25.0,-19.084697356362703,3.5714285714285716,4.4617937767627,-0.3860797639922272,-2.726385336623243,12108.865993767073,551.770610332647,3862.394272328529,0.07163323782234957,0.09805844283192783,0.07354383212394587,3,37.0,0.2246791123136115,0.018958854855736895,3,37.0,2.029145981695051
100.0,10,4,41.0,17.80115957693068,4.1,5.637947148825395,0.09619580069259324,1.7801159576930679,23698.19877651496,755.8950383547734,7558.9503835477335,0.04775549188156638,0.1956226298523672,0.09805844283192783,4,53.0,0.4141818296610515,-0.07460880312509204,4,53.0,1.2657821581117834
105.0,9,1,6.0,23.983698656791663,0.6666666666666666,6.135193893085276,0.42072044159667765,2.664855406310185,24456.271720745397,866.7317319996637,7800.585587996972,0.02387774594078319,0.17110801914438523,0.024514610707981957,1,43.0,0.5262245370657355,0.2309260555326034,1,43.0,8.884424840215802
110.0,9,1,1.0,90.6361484671323,0.1111111111111111,6.636379243880921,0.4670427491251519,10.0706831630147,35815.26067163348,1269.2747623222988,11423.472860900689,0.054478099803878834,0.14659340843640326,0.02434985877081913,1,7.0,0.42578296237101004,-0.17262426112087229,1,7.0,17.815580247815518
115.0,9,3,12.0,-4.576163637655269,1.3333333333333333,6.747672010576129,-0.1720919553652041,-0.5084626264061411,15721.882972549034,557.1928774689198,5014.735897220277,0.10895619960775767,0.1220787977284213,0.07304957631245738,3,12.0,0.3683924088362248,-0.1930865089131581,3,12.0,-5.496254536479615
120.0,7,0,0.0,67.37729994620055,0.0,6.235671906188069,1.1651401715137752,9.625328563742936,27737.284266371684,1263.8574620918498,8847.002234642949,0.054478099803878834,0.09772893895760217,0.0,0,13.0,0.33302499175292577,0.9918278741538811,0,13.0,18.17041564394364
125.0,7,1,4.0,8.385683511012726,0.5714285714285714,6.701742558634303,0.038142442647352795,1.1979547872875322,15581.657781796932,709.9958355424027,4969.970848796819,0.04775549188156638,0.097893690894765,0.024514610707981957,1,4.0,0.7045581652791639,-0.03179453148083622,1,4.0,-0.4605194146567292
130.0,8,2,11.0,22.75332808706049,1.375,6.388962778468626,0.15558265710912053,2.844166010882561,19764.01330292706,788.0023142310422,6304.0185138483375,0.07163323782234957,0.097893690894765,0.049029221415963914,2,11.0,0.46266608651578695,0.0953123287349002,2,11.0,9.46367499038179
