step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,1,0,0.0,-3.6794618818820766,0.0,6.679778744190849,-0.6330099672311924,-3.6794618818820766,0.0,0.0,0.0,0.0,0.02466942964278666,0.0,0,0.0,0.861233172576196,-0.6330099672311924,0,0.0,-3.6794618818820766
10.0,3,0,0.0,8.974390442981685,0.0,8.890149718347038,0.07296892009520277,2.991463480993895,5858.058966699525,622.8285440678866,1868.4856322036596,0.0,0.07640685408851831,0.0,0,0.0,0.9295845825936729,0.07296892009520277,0,0.0,8.974390442981685
15.0,5,0,0.0,-16.980509202906397,0.0,8.19131944061706,-1.04535598885268,-3.3961018405812795,3936.7998029803375,251.13978861282112,1255.6989430641056,0.0,0.10347484889146331,0.0,0,0.0,0.7829807063791555,-1.2250932983530223,0,0.0,-15.436604218526883
20.0,6,1,3.0,-34.94798064216166,0.5,7.222165758126741,-0.8227044814605846,-5.824663440360276,8711.156604824972,463.09074997372994,2778.544499842379,0.023916578972543765,0.12814427853425,0.027067994802945,1,3.0,0.6519712208613077,-1.08154964807793,1,3.0,-43.663087878956084
25.0,7,2,11.0,15.179720802690372,1.5714285714285714,6.208811418879824,0.18799538451983105,2.168531543241482,18196.75266714643,829.1592109979553,5804.114476985687,0.04783315794508753,0.12814427853425,0.05413598960589,2,11.0,0.5593635096697234,0.37838709878963384,2,11.0,20.05392076547787
30.0,7,2,4.0,37.6037399625771,0.5714285714285714,4.703079321895573,0.4446810989710353,5.371962851796729,22384.64641233707,1019.9797394688002,7139.858176281602,0.023916578972543765,0.12574571337409166,0.05173742444573166,2,14.0,0.37504743364396864,0.061741550825981,2,14.0,6.7587140343020495
35.0,9,2,13.0,29.266639402449144,1.4444444444444444,7.196380036595487,0.16296702248500183,3.2518488224943494,21327.482176989615,755.8489290162502,6802.640361146252,0.052687038988408846,0.17508457265966496,0.04933885928557332,2,13.0,0.6480453715320935,-0.06601745647960647,2,13.0,5.245713585389192
40.0,9,3,24.0,-7.566410824173541,2.6666666666666665,4.865217996913547,-0.47267623231823563,-0.8407123137970601,16017.05512659864,567.659400432341,5108.934603891069,0.026343519494204423,0.19975400230245163,0.07400828892835998,3,24.0,0.43418767381051426,-0.4831314412769245,3,24.0,-4.5358219312113714
45.0,11,3,7.0,28.56065086105592,0.6363636363636364,5.296375017046267,0.15409772051242035,2.596422805550538,28259.916057993163,819.4454721646067,9013.900193810672,0.026343519494204423,0.22682199710539663,0.07400828892835998,3,25.0,0.3894517142038158,-0.07494877266182957,3,25.0,5.598486822000125
50.0,12,0,0.0,19.27460522028219,0.0,7.937783253701262,0.1616036817441268,1.6062171016901836,33122.94383123515,880.402554123836,10564.830649486034,0.09809325641183574,0.20215256746260998,0.0,0,11.0,0.664672566341796,-0.18759039425493074,0,11.0,-26.265377192320727
55.0,11,2,5.0,63.14498723915813,0.45454545454545453,8.163013710051475,0.2408537558561033,5.740453385378012,33752.88216823304,978.7000442156968,10765.700486372663,0.09566631589017506,0.15521227333719498,0.05413598960589,2,6.0,0.586657736060241,-0.4214275312583804,2,6.0,-18.610773669157695
60.0,9,2,15.0,-21.002498556560607,1.6666666666666667,7.564178651333898,-0.41850279706469595,-2.3336109507289557,20799.77791505053,737.1482944775406,6634.334650297866,0.09566631589017506,0.10587341405162165,0.05413598960589,2,15.0,0.3758844783398989,-1.0755291977373418,2,15.0,-38.82433808194494
65.0,6,3,27.0,11.29748633859671,4.5,5.031071861832452,0.10224816495310189,1.8829143897661185,15816.315900113774,840.8165418910118,5044.899251346071,0.04783315794508753,0.081203984408835,0.081203984408835,3,27.0,4.940768589221627e-06,-0.00018751019786447675,3,27.0,2.6710892311505592e-05
70.0,7,3,42.0,28.765497375447936,6.0,6.399014419117438,0.21577196605503549,4.109356767921134,22336.72540281451,1017.7938462863125,7124.556924004189,0.04783315794508753,0.13294140885456665,0.081203984408835,3,42.0,0.3926782486262872,0.31711138859391214,3,42.0,24.78374696312381
75.0,8,3,57.0,-38.71765648025043,7.125,6.151664065056918,-0.7633537526111461,-4.839707060031305,9312.611202759696,371.31080707846615,2970.4864566277292,0.023916578972543765,0.18707739846045665,0.081203984408835,3,57.0,0.4384216472050854,-0.8373941309034951,3,57.0,-37.597961857686315
80.0,9,5,76.0,12.864395216928173,8.444444444444445,3.9956690638245127,-0.35919775771281226,1.4293772463253527,24501.423565016066,868.3480760082781,7815.132684074503,0.0,0.21414539326340165,0.135339974014725,5,76.0,0.27207107321193824,-0.6131136562750193,5,76.0,-6.4106985761354105
85.0,9,6,104.0,0.5892544663169041,11.555555555555555,2.651368808454328,-0.23914675449891243,0.06547271847965602,19658.914378223486,696.7407832948445,6270.667049653601,0.023916578972543765,0.21414539326340165,0.16240796881767,6,104.0,0.12665293161716146,-0.2548310618602068,6,104.0,-0.3918992132357612
90.0,8,7,137.0,23.626890587392378,17.125,1.6443925274114468,0.18258921057712096,2.9533613234240472,25673.8160687668,1023.6426425288898,8189.141140231119,0.023916578972543765,0.189475963620615,0.189475963620615,7,137.0,1.4495944333955486e-06,-0.0006482148692832367,7,137.0,1.890538244947711e-05
95.0,10,7,172.0,1.245183883267134,17.2,3.6435082306250797,-0.018509279182180725,0.1245183883267134,23837.480261860415,760.3484101016866,7603.484101016866,0.023916578972543765,0.24121338806634665,0.189475963620615,7,172.0,0.21781294292072254,0.05064804329433375,7,172.0,8.50604895560654
100.0,10,7,207.0,-61.0239715484451,20.7,2.6788549699578565,-0.7033293874705224,-6.1023971548445095,23056.719001363195,735.4432403318928,7354.432403318928,0.0,0.26828138286929165,0.189475963620615,7,207.0,0.22336038998508806,-0.7033293874705224,7,207.0,-61.02397154844509
105.0,15,9,245.0,44.019703688942606,16.333333333333332,4.020979168449297,0.13460650914340266,2.934646912596174,44816.06527647844,952.9840983774454,14294.761475661679,0.023916578972543765,0.3741547969209133,0.243611953226505,9,245.0,0.3164033210231496,0.011935610874532545,9,245.0,15.200041177200184
110.0,15,9,290.0,-6.746895296251419,19.333333333333332,1.9617984635577772,-0.4529435381981248,-0.44979301975009467,32168.947182652875,684.0740336154059,10261.110504231085,0.023916578972543765,0.3741547969209133,0.243611953226505,9,290.0,0.13028818152059513,-0.4642515936589017,9,290.0,-4.885088010787061
115.0,16,7,66.0,28.129978803376424,4.125,2.4970568360726015,0.3003858385819093,1.758123675211026,41248.862312746016,822.3207230599319,13157.131568958912,0.0,0.3964256614035416,0.189475963620615,7,279.0,0.2737897316305821,0.16534905772428604,7,279.0,10.674847710515465
120.0,17,7,23.0,99.76256712895734,1.3529411764705883,4.537100624695532,0.5031337386352379,5.8683863017033735,61725.400620376095,1158.1212000109658,19688.060400186416,0.07903055848261327,0.3669591014404383,0.1846788333002983,7,238.0,0.28887730295196407,0.2824872581148738,7,238.0,31.120457961758785
125.0,17,8,60.0,31.521436650088894,3.5294117647058822,5.2572100090927245,0.08255046077695187,1.854202155887582,42394.70906719818,795.4396879312014,13522.474694830424,0.10537407797681769,0.31042454667438996,0.20934826294308498,8,233.0,0.28300388265063176,0.04367488594222043,8,233.0,9.991604473848993
130.0,15,5,51.0,48.99404500992258,3.4,3.537701913115596,0.2967407630866618,3.266269667328172,44911.40053128831,955.0101355216168,14325.15203282425,0.052687038988408846,0.31042454667438996,0.13294140885456665,5,221.0,0.22633412216491897,0.017017890223504594,5,221.0,3.7248972921394965
