step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
5.0,1,0,0.0,2.191138408187978,0.0,14.790826234570936,-0.045387619407847524,2.191138408187978,2247.954713979518,717.005645457168,717.005645457168,0.0,0.027067994802945,0.0,0,0.0,0.9471264791826591,-0.045387619407847524,0,0.0,2.191138408187978
10.0,1,1,1.0,-0.03934437048657861,1.0,0.08496660044891305,-0.5409627989213385,-0.03934437048657861,2601.773254789347,829.9022486536822,829.9022486536822,0.0,0.027067994802945,0.027067994802945,1,1.0,0.005440812829184943,-0.5409627989213385,1,1.0,-0.03934437048657861
15.0,2,1,6.0,-1.4164772031148394,3.0,4.548486355206792,-0.14221561901171872,-0.7082386015574197,2624.722222222222,418.6111111111111,837.2222222222222,0.0,0.05173742444573166,0.027067994802945,1,6.0,0.4848488521894417,-0.14221561901171872,1,6.0,-1.4164772031148394
20.0,3,1,11.0,10.820439113349945,3.6666666666666665,5.3853752357360944,0.29446982970306035,3.606813037783315,8796.200861477788,935.2261225455455,2805.6783676366367,0.0,0.07640685408851831,0.027067994802945,1,11.0,0.6370844011313438,0.29446982970306035,1,11.0,10.820439113349945
25.0,7,1,16.0,0.5178640365783167,2.2857142857142856,7.2794081982150916,-0.028475668951243854,0.07398057665404524,12745.6589980505,580.7693988257595,4065.385791780316,0.0,0.15521227333719498,0.027067994802945,1,16.0,0.7402565669650621,0.05944908613489611,1,16.0,4.370344373834237
30.0,8,1,21.0,-28.574104433283548,2.625,7.611012645600891,-0.3527085730792937,-3.571763054160443,10292.964459382696,410.3845451840538,3283.0763614724306,0.023916578972543765,0.17988170297998163,0.027067994802945,1,21.0,0.740937644574832,-0.2970854044743926,1,21.0,-19.39545121621248
35.0,8,2,2.0,29.436074807307214,0.25,4.540032610601461,0.4173714167469996,3.679509350913402,22112.887883088602,881.6480718402414,7053.184574721931,0.0,0.1774831378198233,0.05173742444573166,2,26.0,0.5212849195221424,0.11103053238337338,2,26.0,6.663967793487854
40.0,10,4,16.0,22.794061841310903,1.6,5.37004923040659,0.06972372337958566,2.27940618413109,25630.693872957192,817.5339104130557,8175.339104130556,0.052687038988408846,0.20215256746260998,0.10107628373130499,4,39.0,0.3576894636961585,-0.03228674766891507,4,39.0,6.990841428264601
45.0,10,6,41.0,-20.13325432443635,4.1,3.9619173932273903,-0.4532284496911851,-2.013325432443635,17747.76895059747,566.1078304557966,5661.0783045579665,0.026343519494204423,0.20215256746260998,0.1504151430168783,6,64.0,0.13292007247633097,-0.4850981370081491,6,64.0,-15.269309378393226
50.0,11,4,34.0,-16.200505828048765,3.090909090909091,4.991409178846225,0.030215385585131684,-1.4727732570953422,24289.26763946535,704.3215622216259,7747.537184437886,0.026343519494204423,0.23161912742571333,0.10107628373130499,4,78.0,0.343526367088928,-0.09477239431539486,4,78.0,-21.950982691033936
