step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
55.0,26,3,11.0,51.82883661196274,0.4230769230769231,5.921127341807888,0.23220680008913033,1.9934167927677975,64278.26236306988,788.5501840517095,20502.304785344448,0.0803943705570847,0.12165361348781624,0.019369686133860763,1,9.0,0.6022752733646974,0.19765008312027227,0,16.0,0.6022752733646974,0.19765008312027227,0,0.0,0.6022752733646974,0.19765008312027227,2,17.0,0.6022752733646974,0.19765008312027227,3,42.0,22.86921207754041
60.0,28,5,35.0,58.27491389284951,1.25,6.8815548268881,-0.008328652429688832,2.081246924744625,70303.65939949502,800.8578037989236,22424.01850636986,0.09105332405655225,0.11403771017397431,0.03382055318588389,1,14.0,0.5976264745261879,0.07325390430810079,2,9.0,0.5976264745261879,0.07325390430810079,0,2.0,0.5976264745261879,0.07325390430810079,2,25.0,0.5976264745261879,0.07325390430810079,5,50.0,47.57550320267614
65.0,28,5,50.0,26.698005584387374,1.7857142857142858,6.513596437478308,-0.06470168522697738,0.9535001994424057,67561.26175574191,769.6203477270047,21549.36973635613,0.09697188466261286,0.11399900544027315,0.03277847307999381,1,19.0,0.544945442115848,-0.15823721145733366,2,19.0,0.544945442115848,-0.15823721145733366,0,0.0,0.544945442115848,-0.15823721145733366,2,14.0,0.544945442115848,-0.15823721145733366,5,52.0,-2.524695723551498
70.0,27,3,51.0,85.89066821080196,1.8888888888888888,6.743753423929951,0.09114102546215096,3.181135859659332,68672.31229160969,811.250282711367,21903.75763320691,0.10576157457165274,0.12346520885142885,0.020622487472680768,1,24.0,0.5533835698631608,-0.15371650555595975,2,29.0,0.5533835698631608,-0.15371650555595975,0,0.0,0.5533835698631608,-0.15371650555595975,0,5.0,0.5533835698631608,-0.15371650555595975,3,58.0,44.967965772375265
75.0,29,6,78.0,38.50920210427113,2.689655172413793,6.8641957793427455,-0.13773182942968845,1.3279035208369356,73457.14061676373,807.9308002578425,23429.993207477433,0.11872700785552985,0.16150081638291258,0.041302239372919165,1,31.0,0.629572143904932,-0.1047997245641373,3,41.0,0.629572143904932,-0.1047997245641373,1,5.0,0.629572143904932,-0.1047997245641373,1,5.0,0.629572143904932,-0.1047997245641373,6,82.0,36.707362660590086
80.0,30,5,54.0,39.97757363271684,1.8,5.707434141106924,-0.19009587736513886,1.332585787757228,70876.5127917414,753.5652163104709,22606.956489314125,0.12562988058856647,0.16276518263010514,0.0330229927415537,2,37.0,0.5059495404376116,-0.45067861951126004,1,32.0,0.5059495404376116,-0.45067861951126004,1,10.0,0.5059495404376116,-0.45067861951126004,1,10.0,0.5059495404376116,-0.45067861951126004,5,89.0,6.445011717819966
85.0,32,12,96.0,23.24706198801006,3.0,5.992978247453937,-0.036906780285743,0.7264706871253147,74475.2047847381,742.3436684669623,23754.997390942794,0.1466349799525675,0.18211887275454108,0.07881557401897187,3,48.0,0.5137544392003344,-0.1396554909867531,4,18.0,0.5137544392003344,-0.1396554909867531,4,22.0,0.5137544392003344,-0.1396554909867531,1,15.0,0.5137544392003344,-0.1396554909867531,12,103.0,-18.080205088867807
90.0,33,10,124.0,41.93283289677421,3.757575757575758,5.7766854733837825,0.03558543278295346,1.2706919059628545,73778.76992380395,713.1197248480688,23532.95091998627,0.11940350234223046,0.16642693736316178,0.06439184679227737,3,58.0,0.4337760848909178,-0.08687413010346708,3,32.0,0.4337760848909178,-0.08687413010346708,4,42.0,0.4337760848909178,-0.08687413010346708,0,0.0,0.4337760848909178,-0.08687413010346708,10,132.0,5.177491965533454
95.0,34,11,123.0,37.46037133470026,3.6176470588235294,4.885586570820546,0.02462141779675306,1.1017756274911843,74364.6024006697,697.6385711444633,23719.711418911756,0.10408592033051656,0.14463802838180076,0.0696729315115053,4,68.0,0.25251266614568696,-0.17070634527525685,3,34.0,0.25251266614568696,-0.17070634527525685,2,46.0,0.25251266614568696,-0.17070634527525685,2,4.0,0.25251266614568696,-0.17070634527525685,11,152.0,-12.044541222745352
100.0,30,11,108.0,36.550863165984715,3.6,4.392961489445786,0.014720676456325733,1.2183621055328244,69758.9928025798,741.6918612071878,22250.755836215638,0.08304227203335823,0.10633886629088173,0.06952134212275363,4,34.0,0.15875787077946646,-0.26075532393410195,2,36.0,0.15875787077946646,-0.26075532393410195,2,36.0,0.15875787077946646,-0.26075532393410195,3,12.0,0.15875787077946646,-0.26075532393410195,11,118.0,-2.7018775928869916
