Round,Distributed Loss,Centralized Loss,mean_reward,average_CO2_emissions,average_waiting_time
1,-0.008121428571428573,0.0,-0.008121428571428573,109180.12507314478,398.32392857142855
2,-0.026842857142857137,0.0,-0.026842857142857137,109017.04693548313,288.92071428571427
