Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.015396003505560113,0.05928504848958221
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.02010405,-0.016292426254914692
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]",-0.010000000000000002,-0.011221729741708795
"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0]",-0.019999999999999997,-0.031216299733222576
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0]",-0.016,0.0
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.008539584999999997,-0.0024999999999999914
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",-0.028628306993099994,-0.016010789999999993
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.010000000000000002,0.0
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",-0.013333333333333336,-0.01
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-0.015000000000000036,-0.019000000000000017
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]",-0.014999999999999859,0.0
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.017000000000000005,0.0
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]",-0.02079199999999999,0.0
"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 2.0]",-0.023,0.0
"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0]",-0.01799999999999995,-0.018499999999999982
"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0]",-0.02499999999999999,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",-0.0129999999999999,-0.014000000000000002
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 2.0]",-0.018,-0.020391445999999997
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]",-0.0129999999999999,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 1.0]",-0.016990000000000016,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.031178,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 1.0]",-0.022500000000000044,-0.013099
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0]",-0.030000000000000006,0.0
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 1.0, 0.0]",-0.01799999999999997,0.0
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 2.0, 0.0]",-0.027999999999999983,0.0
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 2.0, 1.0]",-0.027999999999999983,0.0
"[0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 1.0, 3.0]",-0.025,0.0
"[0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 2.0, 0.0]",-0.02200000000000002,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 0.0]",-0.018999999999999996,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 1.0]",-0.0296674095,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 2.0, 1.0]",-0.01999999999999993,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 2.0, 2.0]",-0.03200000000000003,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 0.0]",-0.014999999999999859,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 2.0]",-0.035446985,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 3.0]",-0.025,-0.03999999999999995
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 2.0, 0.0]",-0.023000000000000045,0.0
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 2.0, 2.0]",-0.040188000000000015,0.0
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 3.0, 3.0]",-0.03999999999999986,0.0
"[0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0]",-0.023,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 0.0]",-0.03599999999999994,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 1.0]",-0.03600000000000001,0.0
