Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.022562672495309882,0.0017238941411086232
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.009004499999999999,-0.009440049999999998
"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]",-0.010000000000000002,-0.00391173091205
"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0]",-0.019999999999999997,0.0
"[0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0]",-0.016,0.0
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.012685626500000002,-0.018735000000000005
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",-0.030499999999999996,-0.029538017993099984
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.019000000000000003,-0.021566804378301507
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",-0.013333333333333336,-0.01
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-0.015000000000000036,-0.019000000000000017
"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]",-0.014999999999999859,0.0
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.017000000000000005,-0.009117753154
"[0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0]",-0.02079199999999999,0.0
"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 2.0]",-0.023,0.0
"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0]",-0.01799999999999995,-0.018499999999999982
"[0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0]",-0.02499999999999999,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",-0.0129999999999999,-0.022320463000000013
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 2.0]",-0.018,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0]",-0.0129999999999999,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 1.0]",-0.016990000000000016,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.031178,0.0
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 1.0]",-0.022500000000000044,-0.013099
"[0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0]",-0.030000000000000006,-0.024907225052444016
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 1.0, 0.0]",-0.01799999999999997,0.0
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 2.0, 0.0]",-0.027999999999999983,0.0
"[0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 2.0, 1.0]",-0.027999999999999983,0.0
"[0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 1.0, 3.0]",-0.025,0.0
"[0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 2.0, 0.0]",-0.02200000000000002,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 0.0]",-0.018999999999999996,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 1.0, 1.0]",-0.0296674095,0.0
"[0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 2.0, 1.0]",-0.01999999999999993,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 2.0, 2.0]",-0.03200000000000003,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 0.0]",-0.014999999999999859,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 2.0]",-0.035446985,0.0
"[0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 3.0, 3.0]",-0.025,-0.03999999999999995
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 2.0, 0.0]",-0.023000000000000045,0.0
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 2.0, 2.0]",-0.040188000000000015,0.0
"[0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 3.0, 3.0]",-0.03999999999999986,0.0
"[0.0, 0.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0]",-0.023,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 0.0]",-0.03599999999999994,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 1.0]",-0.03600000000000001,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 2.0]",-0.035772000000000005,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 3.0, 0.0]",-0.029999999999999985,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 3.0, 2.0]",-0.04400000000000004,-0.040000000000000036
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 3.0, 3.0]",-0.046782,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 4.0, 0.0]",-0.018999999999999774,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 4.0, 2.0]",-0.03400000000000034,0.0
"[0.0, 0.0, 0.0, 4.0, 3.0, 0.0, 4.0, 3.0]",-0.04500000000000002,0.0
"[0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 3.0, 2.0]",-0.040000000000000216,0.0
"[0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 0.0]",-0.03599999999999994,0.0
"[0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 2.0]",-0.05441697166666668,-0.01033333333333341
"[0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 4.0, 3.0]",-0.05,0.0
"[0.0, 0.0, 0.0, 5.0, 3.0, 0.0, 4.0, 0.0]",-0.014000000000000058,0.0
"[0.0, 0.0, 0.0, 5.0, 4.0, 0.0, 4.0, 0.0]",-0.03500000000000014,0.0
"[0.0, 0.0, 0.0, 5.0, 4.0, 0.0, 5.0, 2.0]",-0.05,0.0
"[0.0, 0.0, 0.0, 5.0, 5.0, 0.0, 5.0, 3.0]",-0.042999999999999976,0.0
"[0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 4.0, 2.0]",-0.05600000000000001,0.0
"[0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 5.0, 0.0]",-0.03599999999999994,0.0
"[0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 5.0, 1.0]",0.10599999999999953,0.0
"[0.0, 0.0, 0.0, 6.0, 4.0, 0.0, 5.0, 2.0]",-0.05700000000000003,0.0
"[0.0, 0.0, 0.0, 6.0, 5.0, 0.0, 6.0, 1.0]",-0.05400000000000063,0.0
"[0.0, 0.0, 0.0, 6.0, 6.0, 0.0, 5.0, 3.0]",-0.06699999999999946,-0.06300000000000026
"[0.0, 0.0, 0.0, 6.0, 6.0, 0.0, 6.0, 3.0]",-0.044999999999999575,0.0
"[0.0, 0.0, 0.0, 7.0, 7.0, 0.0, 6.0, 3.0]",-0.07100000000000009,0.0
"[0.0, 0.0, 0.0, 8.0, 4.0, 0.0, 8.0, 0.0]",0.06099999999999994,0.0
"[0.0, 0.0, 0.0, 8.0, 6.0, 0.0, 7.0, 3.0]",-0.07700000000000032,0.0
"[0.0, 0.0, 0.0, 8.0, 7.0, 0.0, 8.0, 2.0]",-0.015000000000000568,0.0
"[0.0, 0.0, 0.0, 8.0, 8.0, 0.0, 4.0, 2.0]",-0.055999999999999876,0.0
"[0.0, 0.0, 0.0, 8.0, 8.0, 0.0, 4.0, 3.0]",-0.06099999999999959,0.0
"[0.0, 0.0, 0.0, 8.0, 8.0, 0.0, 7.0, 4.0]",-0.07899999999999992,0.0
"[0.0, 0.0, 0.0, 9.0, 5.0, 0.0, 9.0, 0.0]",-0.04349830666666641,0.0
"[0.0, 0.0, 0.0, 9.0, 6.0, 0.0, 6.0, 0.0]",-0.06099999999999994,0.0
"[0.0, 0.0, 0.0, 9.0, 6.0, 0.0, 9.0, 0.0]",-0.06570000000000013,0.0
"[0.0, 0.0, 0.0, 9.0, 6.0, 0.0, 9.0, 1.0]",-0.05,0.0
"[0.0, 0.0, 0.0, 9.0, 7.0, 0.0, 4.0, 1.0]",-0.053000000000000116,0.0
"[0.0, 0.0, 0.0, 9.0, 7.0, 0.0, 8.0, 2.0]",-0.061999999999999035,0.0
"[0.0, 0.0, 0.0, 9.0, 7.0, 0.0, 9.0, 2.0]",-0.07433333333333335,0.034742666666666346
"[0.0, 0.0, 0.0, 9.0, 7.0, 0.0, 9.0, 3.0]",-0.04809999999999983,0.0
"[0.0, 0.0, 0.0, 9.0, 8.0, 0.0, 4.0, 3.0]",-0.07399999999999984,0.0
"[0.0, 0.0, 0.0, 9.0, 8.0, 0.0, 9.0, 2.0]",-0.0849999999999998,0.0
"[0.0, 0.0, 0.0, 9.0, 8.0, 0.0, 9.0, 3.0]",-0.08999999999999986,0.0
"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005297150999999998,0.013626492306787369
"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.018998500000000015,-0.008065000000000001
"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",-0.016646999999999995,-0.02147199303443722
"[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.013000000000000001,-0.015899999999999997
"[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0]",-0.01,-0.005000000000000002
"[0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0]",-0.0010000000000000009,0.0
"[0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0]",-0.018,-0.015000000000000003
