Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.003,0.0
"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.013000000000000001,-0.008000000000000007
"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-0.015,0.0
"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",-0.019000000000000003,0.008999999999999985
"[0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0]",-0.019999999999999997,0.007999999999999997
"[1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.015999999999999997,0.0
"[1.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0]",0.016000000000000004,0.0
"[1.0, 1.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0]",0.003999999999999998,0.0
"[0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.035399999999999925,0.0
"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0045,-0.005000000000000002
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.004,0.004
"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.008000000000000007,0.0
"[1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.002,0.0067000000000000046
"[1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005000000000000001,0.0
"[0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.004999999999999999,-0.005000000000000002
"[1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0]",0.001999999999999999,0.0
"[0.0, 0.0, 3.0, 1.0, 2.0, 0.0, 0.0, 0.0]",0.015,0.0
"[0.0, 0.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.012000000000000002,0.0
"[0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0]",-0.024,0.01210200000000001
"[0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0]",-0.025,-0.00030000000000000035
"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0.034999999999999996,0.0
"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.0020000000000000018,-0.007000000000000006
"[1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.006,0.0
"[0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0]",-0.019000000000000003,-0.011
"[0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0]",-0.019999999999999997,-0.037821799999999996
"[0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0]",-0.020000000000000007,0.0
"[1.0, 0.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0]",0.017000000000000005,0.0
"[1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0.9721,-0.014000000000000012
"[1.0, 1.0, 5.0, 0.0, 2.0, 1.0, 0.0, 0.0]",-0.004999999999999983,0.0
"[0.0, 0.0, 4.0, 1.0, 2.0, 0.0, 0.0, 0.0]",-0.0020000000000000018,0.0
"[0.0, 0.0, 3.0, 1.0, 2.0, 0.0, 0.0, 2.0]",-0.020000000000000007,0.0
"[1.0, 0.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0]",-0.0020000000000000018,0.0
"[1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0]",-0.008999999999999985,0.0010000000000001564
"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0]",-0.01100000000000001,0.0
"[0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0.008999999999999985,0.0
"[0.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0]",-0.016999999999999994,0.0
"[0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0]",-0.027000000000000003,0.01707899999999986
"[0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0]",-0.029999999999999985,-0.00874917989999997
"[0.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0]",-0.03300000000000001,-0.014900000000000033
"[1.0, 0.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0]",0.020999999999999998,0.0
