Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005,0.0030999999999999943
"[1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",-0.005,0.0
"[1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.006,0.16000000000000003
"[1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]",-0.0031000000000000042,0.0
"[0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.0010000000000000002,0.0
"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.011,0.0
"[0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0]",-0.016,0.0
"[0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0]",-0.020000000000000004,0.0
"[0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0]",-0.023,0.0
"[0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0]",-0.025,0.0
"[0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.025,0.0040000000000000036
"[0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0]",-0.029000000000000005,0.0
"[0.0, 1.0, 0.0, 2.0, 3.0, 0.0, 2.0, 2.0]",-0.030000000000000006,0.024
"[1.0, 0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0]",0.05700000000000001,0.0
"[1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0]",0.0040000000000000036,0.0
"[1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 1.0, 0.0]",-0.01200000000000001,0.0
"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 1.0, 0.0]",-0.022,0.0
"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 1.0, 3.0]",-0.030000000000000006,0.0
"[0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 1.0, 3.0]",-0.029999999999999985,0.0
"[0.0, 1.0, 0.0, 1.0, 3.0, 0.0, 1.0, 3.0]",-0.030000000000000027,0.0
"[0.0, 1.0, 1.0, 2.0, 3.0, 0.0, 1.0, 3.0]",-0.03099999999999996,0.0
"[0.0, 1.0, 0.0, 3.0, 3.0, 0.0, 2.0, 3.0]",-0.03600000000000003,0.0
"[0.0, 1.0, 1.0, 4.0, 4.0, 0.0, 3.0, 3.0]",-0.040999999999999974,0.0053233000000000134
"[0.0, 1.0, 1.0, 4.0, 5.0, 0.0, 3.0, 4.0]",-0.053000000000000026,0.0
"[0.0, 1.0, 1.0, 5.0, 5.0, 0.0, 4.0, 4.0]",-0.06500000000000004,0.0
"[0.0, 1.0, 2.0, 5.0, 6.0, 0.0, 5.0, 5.0]",-0.07399999999999994,0.0
"[0.0, 1.0, 2.0, 6.0, 6.0, 0.0, 5.0, 6.0]",-0.07800000000000003,0.0
"[0.0, 1.0, 2.0, 6.0, 6.0, 0.0, 6.0, 6.0]",-0.07999999999999999,0.0
"[0.0, 1.0, 1.0, 6.0, 6.0, 0.0, 6.0, 6.0]",-0.07999999999999999,0.0
"[0.0, 1.0, 0.0, 6.0, 6.0, 0.0, 6.0, 6.0]",-0.08000000000000007,0.0
"[0.0, 1.0, 0.0, 7.0, 6.0, 0.0, 6.0, 6.0]",-0.08100000000000006,-0.062000000000000534
"[0.0, 1.0, 1.0, 7.0, 7.0, 0.0, 7.0, 6.0]",-0.08999999999999986,-0.02792099999999971
"[0.0, 1.0, 1.0, 7.0, 7.0, 0.0, 7.0, 7.0]",-0.09000000000000004,-0.0519999999999996
"[0.0, 1.0, 0.0, 7.0, 7.0, 0.0, 7.0, 7.0]",-0.09000000000000004,-0.00011299999999959086
"[1.0, 0.0, 0.0, 7.0, 8.0, 0.0, 7.0, 4.0]",0.21869999999999987,0.0
"[1.0, 0.0, 0.0, 7.0, 6.0, 0.0, 7.0, 1.0]",0.06899999999999995,0.0
"[1.0, 1.0, 1.0, 7.0, 4.0, 0.0, 7.0, 0.0]",-0.04499999999999993,0.0
"[0.0, 0.0, 2.0, 7.0, 5.0, 0.0, 7.0, 0.0]",-0.05199999999999996,0.0
"[0.0, 0.0, 0.0, 9.0, 7.0, 0.0, 7.0, 2.0]",-0.07599999999999998,0.0
"[0.0, 1.0, 0.0, 8.0, 8.0, 0.0, 8.0, 5.0]",-0.09500000000000011,-0.06199999999999975
"[0.0, 1.0, 0.0, 8.0, 8.0, 0.0, 8.0, 7.0]",-0.1049999999999999,-0.043999999999999775
