Q-tables,States,Actions
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0027000000000000023,-0.005900000000000001
"[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.012500000000000004,-0.015051015645219929
"[0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005000000000000001,0.0
"[0.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.010000000000000002,0.0040000000000000036
"[0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0]",-0.016999999999999998,0.004999999999999994
"[0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0]",-0.024,0.0
"[0.0, 1.0, 2.0, 2.0, 2.0, 0.0, 2.0, 1.0]",-0.025,-0.007335599999999895
"[1.0, 0.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0]",0.014999999999999993,0.0
"[1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0]",-0.0010000000000000009,0.02691099999999998
"[1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0]",-0.016494199999999987,-0.020999999999999998
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.009999999999999998,0.0
"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.010000000000000009,0.011
"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",-0.012,0.013692064813219967
"[0.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0]",-0.019999999999999997,0.016146999999999998
"[1.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0]",-0.013999999999999992,0.0
"[1.0, 0.0, 4.0, 2.0, 1.0, 0.0, 2.0, 0.0]",-0.022,0.0
"[1.0, 1.0, 5.0, 2.0, 1.0, 1.0, 2.0, 0.0]",-0.01100000000000001,0.0
